"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0,NA,NA,NA,NA,NA,"FBgn0031081","Nep3"
"FBgn0031085",0,NA,NA,NA,NA,NA,"FBgn0031085","CG9570"
"FBgn0031088",0,NA,NA,NA,NA,NA,"FBgn0031088","CG15322"
"FBgn0040784",0.00290871002060304,0.398562964434576,8.04745973053041,-0.00656412936647044,1,1,"FBgn0040784",NA
"FBgn0031086",0,NA,NA,NA,NA,NA,"FBgn0031086","fd19B"
"FBgn0031082",0,NA,NA,NA,NA,NA,"FBgn0031082","CG17003"
"FBgn0031080",0.181244744421428,0.351614419582259,2.12847602891715,-0.0970701374145051,1,1,"FBgn0031080","CG12655"
"FBgn0053217",0.0194739784677522,0.463082416606736,8.04740673198749,-0.00539458710421314,1,1,"FBgn0053217","CG33217"
"FBgn0052350",0.0415825231483444,0.222254939267221,5.24090418554739,-0.00914056658406537,1,1,"FBgn0052350","Vps11"
"FBgn0024733",7.58849301828687,-0.572183270566319,0.216053046502275,7.00349561042515,0.00813507076635791,1,"FBgn0024733","RpL10"
"FBgn0040372",0.0819823218848999,0.508444670555026,3.05252138698022,-0.0484039171736868,1,1,"FBgn0040372","G9a"
"FBgn0000316",0.0803362503168862,0.653063400485393,2.81370154080126,-0.0756839013068031,1,1,"FBgn0000316","cin"
"FBgn0024989",0,NA,NA,NA,NA,NA,"FBgn0024989","CG3777"
"FBgn0040371",0.00999057874976728,0.524168495716794,8.04738518353035,-0.00579230466198055,1,1,"FBgn0040371","CG12470"
"FBgn0029521",0.0021529901525837,0.630019276441734,8.04745906806796,-0.0025852050242996,1,1,"FBgn0029521","Or1a"
"FBgn0029522",0.0291492180412209,0.731944043123713,7.14783278041171,-0.00303257972062454,1,1,"FBgn0029522","CG13373"
"FBgn0052817",0.023090676278311,0.66799946843456,7.47769395384998,-0.00412054132250717,1,1,"FBgn0052817","CG32817"
"FBgn0029524",0.015646908356626,1.2165623517087,8.04676330559342,0.0262046167330325,0.871401611916494,1,"FBgn0029524","CG3176"
"FBgn0023536",0.0159449550063997,0.814261789604763,8.04736196719262,0.00285590187369422,0.957380826388902,1,"FBgn0023536","CG3156"
"FBgn0023535",0.0473856738834198,0.708096211531015,4.47228524469308,-0.0120202289964197,1,1,"FBgn0023535",NA
"FBgn0023537",0.414636025215729,2.04898547846773,1.02120231781299,3.64771597888011,0.0561461585588683,1,"FBgn0023537","CG17896"
"FBgn0029525",0.0220351837959088,0.507036427198463,8.04745215558548,-0.00628050882852449,1,1,"FBgn0029525","CG18273"
"FBgn0029523",0.00368834375621808,0.630019276441734,8.04745906806796,-0.00301955294987977,1,1,"FBgn0029523","CR18275"
"FBgn0010019",0,NA,NA,NA,NA,NA,"FBgn0010019","Cyp4g1"
"FBgn0052816",0.0159132704378438,0.804657486083762,8.04740204954671,0.00453643688077676,0.946300624039271,1,"FBgn0052816","CG32816"
"FBgn0040370",0,NA,NA,NA,NA,NA,"FBgn0040370","CG13375"
"FBgn0040373",0.0257774125053085,0.408318592152033,8.04742858702638,-0.0138092704280055,1,1,"FBgn0040373","CG3038"
"FBgn0000108",0,NA,NA,NA,NA,NA,"FBgn0000108","Appl"
"FBgn0025640",0.164995189680192,-0.453842251594576,1.46607457778967,0.429672971184459,0.512149459927083,1,"FBgn0025640","CG13369"
"FBgn0025635",0.00190475237199021,0.837702458723995,8.04738666520202,0.00157856290525515,0.968307480964274,1,"FBgn0025635","CG17829"
"FBgn0001341",0.0211784432570244,1.11039347926635,6.9585689787338,0.0243687309630758,0.875950358395106,1,"FBgn0001341","Mybbp1A"
"FBgn0003575",0.014983530987975,0.63027589449156,8.04743063857617,-0.00307016737085064,1,1,"FBgn0003575","su(sable)"
