"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0.00287116432580338,-0.16626031489873,6.16838437344736,0.00113978973404016,0.973067917414865,1,"FBgn0031081","Nep3"
"FBgn0031085",0.00264096016396537,-0.163889688650607,6.16838378522272,0.00101694608770231,0.97456009867835,1,"FBgn0031085","CG9570"
"FBgn0031088",0.00091839850734443,-0.117868768650596,6.16838536550401,0.000165525132061362,0.989734974039898,1,"FBgn0031088","CG15322"
"FBgn0040784",0.00153221512082102,-0.109972281514168,6.16838314028099,0.000104652951286255,0.991837781309923,1,"FBgn0040784",NA
"FBgn0031086",0,NA,NA,NA,NA,NA,"FBgn0031086","fd19B"
"FBgn0031082",0.00111924785820081,-0.117868768646902,6.16838536550402,0.000140995263066657,0.990526027558547,1,"FBgn0031082","CG17003"
"FBgn0031080",0.0512624228663617,-0.0542498478745245,1.41881724164536,-0.00959253052155873,1,1,"FBgn0031080","CG12655"
"FBgn0053217",0.0469358153027592,-0.0266464458994752,1.58647109967958,-0.00264235831838278,1,1,"FBgn0053217","CG33217"
"FBgn0052350",0.0466813497741451,-0.0718493027706665,1.55468842487627,-0.00654009930462962,1,1,"FBgn0052350","Vps11"
"FBgn0024733",12.1239485734051,-0.0106792064689686,0.0693361070656516,0.0237913879109328,0.877416899508828,1,"FBgn0024733","RpL10"
"FBgn0040372",0.124217999469143,-0.662380146677496,0.671389145920889,2.20992328706541,0.137125489702863,1,"FBgn0040372","G9a"
"FBgn0000316",0.106266657644219,-0.532191656577728,0.788443351986208,0.774718561794089,0.378761274132812,1,"FBgn0000316","cin"
"FBgn0024989",0.0108748741993824,-0.129826157968637,5.60954023433986,-0.000254926733205707,1,1,"FBgn0024989","CG3777"
"FBgn0040371",0.00923422059918883,-0.13685704555021,4.68767677908372,0.000212463601968693,0.98837034174083,1,"FBgn0040371","CG12470"
"FBgn0029521",0.00543442622724815,-0.0973571512514618,6.16838126952159,3.05196489875925e-05,0.995592141752164,1,"FBgn0029521","Or1a"
"FBgn0029522",0.0120540880597175,-0.239740557877336,3.8624689014021,0.00816178716351601,0.928014960764859,1,"FBgn0029522","CG13373"
"FBgn0052817",0.00101444088813578,-0.115666732375557,6.16838387884431,0.000224420542693338,0.988047599920189,1,"FBgn0052817","CG32817"
"FBgn0029524",0.00731131966862785,-0.0893893104933485,4.80442917713862,-6.12171998000122e-05,1,1,"FBgn0029524","CG3176"
"FBgn0023536",0.0329076180411398,-0.12477504262639,2.21640799442862,0.00281355431451402,0.95769768843821,1,"FBgn0023536","CG3156"
"FBgn0023535",0.00855094281509779,-0.132227706555497,5.03832418085486,-0.000649364760178628,1,1,"FBgn0023535",NA
"FBgn0023537",0.515722798980548,0.0430438874697156,0.313795500983387,0.0376624358154913,0.846122542348985,1,"FBgn0023537","CG17896"
"FBgn0029525",0.0344231951363784,-0.189805392448167,2.04591903395759,0.00697584014665154,0.933436886471679,1,"FBgn0029525","CG18273"
"FBgn0029523",0.00459032964316096,-0.0880434490629024,6.16838232977309,-0.000241378286034433,1,1,"FBgn0029523","CR18275"
"FBgn0010019",0,NA,NA,NA,NA,NA,"FBgn0010019","Cyp4g1"
"FBgn0052816",0.105306701300764,0.121560788792044,0.937868053888266,0.113789394897708,0.73587053111855,1,"FBgn0052816","CG32816"
"FBgn0040370",0.000414637863976658,-0.151235190052369,6.16838522058,0.000542307793523378,0.981420940215311,1,"FBgn0040370","CG13375"
"FBgn0040373",0.0131118189961655,-0.0807524342081889,3.48792319760352,-0.00118771349298186,1,1,"FBgn0040373","CG3038"
"FBgn0000108",0.0044241171460392,-0.158390386209642,6.16838412001537,0.00113658694316143,0.973105769040495,1,"FBgn0000108","Appl"
"FBgn0025640",0.184233907662118,0.363420780917049,0.489301823351272,1.03720941690506,0.308471376994484,1,"FBgn0025640","CG13369"
"FBgn0025635",0.0233805115501776,-0.200782357678444,2.92534488007532,-0.00420621715596781,1,1,"FBgn0025635","CG17829"
"FBgn0001341",0.0474742888006784,-0.0778463395382863,1.67658417536488,-0.00590004308173775,1,1,"FBgn0001341","Mybbp1A"
"FBgn0003575",0.0749590890433405,-0.250092150202211,1.24034399796206,0.0727227139667548,0.78741299380423,1,"FBgn0003575","su(sable)"
"FBgn0025634",0.0298523183865527,-0.266718650701971,2.01810337100551,0.0275123327398319,0.86826050041225,1,"FBgn0025634","CG13367"
"FBgn0025638",0.535172746205082,0.681582713391507,0.271388964864514,6.96070480528488,0.00833192051065311,1,"FBgn0025638","Roc1a"
"FBgn0040383",0.0521872114286872,-0.3595896368655,1.11907505761662,0.134493066288655,0.713818216074779,1,"FBgn0040383","CG5254"
"FBgn0040382",0.0481539812875567,-0.155014564390042,1.29274964090166,-0.00320146489332274,1,1,"FBgn0040382",NA
"FBgn0027343",0.00171650340996554,-0.140763984967169,6.16838478050192,0.00038198369603748,0.984406815174964,1,"FBgn0027343","fz3"
"FBgn0025621",0.0987676413993624,-0.217218647817586,0.909372226688716,0.0175413271930438,0.894633370834437,1,"FBgn0025621","CG16989"
"FBgn0026874",0.000882326028306604,-0.103681346348822,6.16838455529619,-5.61577349742493e-05,1,1,"FBgn0026874","CG13358"
"FBgn0025616",0,NA,NA,NA,NA,NA,"FBgn0025616","CG13359"
"FBgn0015799",0.0967082197528863,-0.172244214708117,0.85124337803214,0.0441754537154111,0.833527520367173,1,"FBgn0015799","Rbf"
"FBgn0025620",0.0224606995742083,-0.122196746352931,3.30094685722321,-0.00246604398310524,1,1,"FBgn0025620","CG13360"
"FBgn0015288",1.40269737089543,0.258060723788206,0.178334742690857,2.09805788746462,0.147486369272577,1,"FBgn0015288",NA
"FBgn0025639",0.0779184542435519,-0.0445976214948363,0.997602763281135,-0.0122069698289806,1,1,"FBgn0025639","Hmt4-20"
"FBgn0002579",15.7534299891295,0.118063202709466,0.058959794035344,4.01195724922127,0.045178675094075,1,"FBgn0002579","RpL36"
"FBgn0026879",1.30797305509677,-0.0788310236897383,0.19256758649364,0.182471600179269,0.669257734392167,1,"FBgn0026879",NA
"FBgn0029529",0.0846468580549009,0.107904063760256,0.86871734021829,0.0492492219915448,0.824374870760788,1,"FBgn0029529","CG13365"
"FBgn0025633",0.0911959338400016,-0.259312647565483,0.979523258261512,0.106870018758059,0.743736107016663,1,"FBgn0025633","CG13366"
"FBgn0040339",0.0599619027380483,0.048809038953682,1.25936418051388,0.00700978560587373,0.933275507236856,1,"FBgn0040339","MED22"
"FBgn0052815",0.000461026945207388,-0.151235190052376,6.16838522058,0.000567694975408983,0.980991121399474,1,"FBgn0052815","CG32815"
"FBgn0040340",0.227762490266277,0.023478947598211,0.429183732569555,0.0200161871400724,0.887491884584562,1,"FBgn0040340","TRAM"
"FBgn0040347",0.000644801346455697,-0.151235190052396,6.16838522058,0.000668074852260503,0.979379258930949,1,"FBgn0040347","mus81"
"FBgn0040337",0.0210089251344406,-0.271664246117533,2.58110736353768,0.0106605448985988,0.917764625311769,1,"FBgn0040337","CG3021"
"FBgn0040398",5.1015841536394,0.219281310669028,0.19659359249995,1.24993120114004,0.263565617898102,1,"FBgn0040398","CG14629"
"FBgn0040397",0.00324119946600234,-0.127548028791618,6.1683842878943,0.000461867275774352,0.982853904915617,1,"FBgn0040397","CG3655"
"FBgn0026143",0.0562114186898991,-0.0634365393886047,1.38460075667378,-0.0175496564490345,1,1,"FBgn0026143","Cdc45"
"FBgn0040351",0.00108962425143523,-0.149972769678405,6.16838458869555,0.000569096064793939,0.980967683038292,1,"FBgn0040351","CG11638"
"FBgn0040349",0.00151020988676312,-0.117868768641176,6.16838536550402,9.33939418104046e-05,0.99228932045411,1,"FBgn0040349",NA
"FBgn0040348",0,NA,NA,NA,NA,NA,"FBgn0040348",NA
"FBgn0040346",0.0925338768156396,0.0772646049983154,0.861319609726327,0.0581519257253831,0.809441106127279,1,"FBgn0040346","CG3704"
"FBgn0040342",0.0007563779150191,-0.103681346348822,6.16838455529619,-1.54293125582683e-05,1,1,"FBgn0040342",NA
"FBgn0040345",0,NA,NA,NA,NA,NA,"FBgn0040345","CG3708"
"FBgn0052814",0,NA,NA,NA,NA,NA,"FBgn0052814","CG32814"
"FBgn0040364",0.0061114659829697,-0.202369518118921,6.16838136332284,0.00255471740496205,0.959688718024537,1,"FBgn0040364","CG11378"
"FBgn0040360",0,NA,NA,NA,NA,NA,"FBgn0040360","CG14626"
"FBgn0025642",0,NA,NA,NA,NA,NA,"FBgn0025642","CG32812"
"FBgn0004650",0,NA,NA,NA,NA,NA,"FBgn0004650","fs(1)N"
"FBgn0024362",0.10990437704326,0.0569645416270696,0.800787705504132,0.0373337047775522,0.846787210370408,1,"FBgn0024362","Naa30A"
"FBgn0024361",0.0182788105620458,-0.0190676204177055,3.23579452014179,-0.000838898203880944,1,1,"FBgn0024361","Tsp2A"
"FBgn0024364",0.0894762498403977,-0.122161512888469,0.91539041854145,0.00717985995993331,0.932472821889702,1,"FBgn0024364",NA
"FBgn0024987",0.0575382411302989,-0.295492185341562,1.24277017771062,0.07876762358012,0.778974487572176,1,"FBgn0024987","ssx"
"FBgn0023169",0.114816212505433,-0.0665138656332752,0.609905494183666,0.00628339682327805,0.936819553815118,1,"FBgn0023169",NA
"FBgn0024985",0.104894701790048,-0.233210948771375,0.829330035217584,0.170456737779091,0.679706209009688,1,"FBgn0024985","Rilpl"
"FBgn0027794",0.0279572824440499,0.00721938260787714,2.07832806183855,0.000604151317816104,0.98039037914219,1,"FBgn0027794","Lrpprc2"
"FBgn0027795",0.00383626250603054,-0.0580615480412006,6.16838243455708,-0.000329476871755219,1,1,"FBgn0027795","CG14785"
"FBgn0024986",0.0687712101322479,-0.000837012912013133,1.12905425003066,-0.000280844437043015,1,1,"FBgn0024986",NA
