"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0,NA,NA,NA,NA,NA,"FBgn0031081","Nep3"
"FBgn0031085",0.00196211223276744,-0.211639418249,6.46292023407801,0.000321602641832897,0.985692077225359,NA,"FBgn0031085","CG9570"
"FBgn0031088",0,NA,NA,NA,NA,NA,"FBgn0031088","CG15322"
"FBgn0040784",0,NA,NA,NA,NA,NA,"FBgn0040784",NA
"FBgn0031086",0,NA,NA,NA,NA,NA,"FBgn0031086","fd19B"
"FBgn0031082",0.00139167073308776,-0.152016555733885,6.46292045046306,-0.000537935872628736,1,NA,"FBgn0031082","CG17003"
"FBgn0031080",0.105655344184956,-0.113185319531726,0.801109298312602,0.00677691018790938,0.934390667549906,NA,"FBgn0031080","CG12655"
"FBgn0053217",0.0475879521881086,-0.22864375228245,1.3649593541026,0.0227732629072079,0.880048189197643,NA,"FBgn0053217","CG33217"
"FBgn0052350",0.0490540617873456,-0.26818322089569,1.49132098596808,0.0180251093121342,0.89319886180166,NA,"FBgn0052350","Vps11"
"FBgn0024733",9.49608554950221,0.191948531600121,0.0748293400704502,6.57836575703914,0.0103225622937086,0.203767379677808,"FBgn0024733","RpL10"
"FBgn0040372",0.0905776671531913,-0.114937128820443,0.83980051083101,-0.0838062912994246,1,NA,"FBgn0040372","G9a"
"FBgn0000316",0.0960761968200732,-0.259032327728142,0.778832327503899,0.0970557633900171,0.755391857010119,NA,"FBgn0000316","cin"
"FBgn0024989",0.00183418708581849,-0.165859515974431,6.46292049861925,-0.000564593370889099,1,NA,"FBgn0024989","CG3777"
"FBgn0040371",0.0107107888326331,-0.208163373954828,4.02020696607853,0.001743797180211,0.966690981063345,NA,"FBgn0040371","CG12470"
"FBgn0029521",0.00587584521219152,-0.234994234193017,5.60981069933406,0.0006993940290414,0.978901557327116,NA,"FBgn0029521","Or1a"
"FBgn0029522",0.0156803302827393,-0.1751100657827,3.07175653270129,-0.0010594901924037,1,NA,"FBgn0029522","CG13373"
"FBgn0052817",0.00465731610897644,-0.140365493493867,5.18868428836164,-0.00077063823636081,1,NA,"FBgn0052817","CG32817"
"FBgn0029524",0.0182411163446877,-0.139822120690191,2.5232415321102,-0.00653929217691029,1,NA,"FBgn0029524","CG3176"
"FBgn0023536",0.0250369020143691,-0.184726457210378,2.05462013945692,0.0128024104919291,0.909913428946689,NA,"FBgn0023536","CG3156"
"FBgn0023535",0.0192370851117116,-0.0710652255689348,2.38767005429017,-0.00180997125067961,1,NA,"FBgn0023535",NA
"FBgn0023537",0.276799875461924,0.18364640743986,0.352045255556936,0.684286214533131,0.408114677408209,NA,"FBgn0023537","CG17896"
"FBgn0029525",0.0214502147384871,-0.276564972789537,2.67097722997157,0.0185486786566003,0.891668286797061,NA,"FBgn0029525","CG18273"
"FBgn0029523",0.00638073405546383,-0.113396291238701,6.12023012758043,-0.00135669980166142,1,NA,"FBgn0029523","CR18275"
"FBgn0010019",0,NA,NA,NA,NA,NA,"FBgn0010019","Cyp4g1"
"FBgn0052816",0.00525506130631696,-0.170421492122842,6.12553756352396,1.87377121676491e-05,0.996546201576662,NA,"FBgn0052816","CG32816"
"FBgn0040370",0.00170822018039386,-0.165142586009541,6.4629204211452,-0.000382044702760709,1,NA,"FBgn0040370","CG13375"
"FBgn0040373",0.021344358610781,-0.0621224696651369,2.67140044503883,-0.00647432661526182,1,NA,"FBgn0040373","CG3038"
"FBgn0000108",0,NA,NA,NA,NA,NA,"FBgn0000108","Appl"
"FBgn0025640",0.269432096516788,-0.196016128363331,0.352276739709116,0.103085948181615,0.748157340358244,NA,"FBgn0025640","CG13369"
"FBgn0025635",0.0207156557442105,-0.281131288788734,2.75729364634395,0.013230230264071,0.908427099314684,NA,"FBgn0025635","CG17829"
"FBgn0001341",0.0149231929893821,-0.20403749081171,2.86507207375959,-0.000372142414676091,1,NA,"FBgn0001341","Mybbp1A"
