"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0.000428852225740598,0.0550330237208134,5.94946536679351,-6.14471588704646e-05,1,NA,"FBgn0031081","Nep3"
"FBgn0031085",0.00171540505839365,0.045847445062986,5.59528468748283,-0.000153402233792121,1,NA,"FBgn0031085","CG9570"
"FBgn0031088",0.00182537256662089,0.0569231616886147,5.90849547357485,-6.80467479128311e-05,1,NA,"FBgn0031088","CG15322"
"FBgn0040784",0.00165479243926645,0.0581848282147427,5.6103420703365,-3.53094432909984e-05,1,NA,"FBgn0040784",NA
"FBgn0031086",0,NA,NA,NA,NA,NA,"FBgn0031086","fd19B"
"FBgn0031082",0.00137858687189181,0.0563805863005622,5.94946523179075,-8.44303119862388e-05,1,NA,"FBgn0031082","CG17003"
"FBgn0031080",0.0996824282979162,0.054084214565611,0.465905870897359,-0.0893480290978914,1,NA,"FBgn0031080","CG12655"
"FBgn0053217",0.0547425726562196,0.117855334620075,0.557124494810989,0.0942655805656614,0.758822818794532,NA,"FBgn0053217","CG33217"
"FBgn0052350",0.0473768926710521,0.0578467415504805,0.612890490036082,-0.00047236785030691,1,NA,"FBgn0052350","Vps11"
"FBgn0024733",9.554983829773,0.110990018388661,0.0416627632986021,7.00779307287303,0.00811556594908334,0.0609026542019705,"FBgn0024733","RpL10"
"FBgn0040372",0.123726352873316,-0.013185365569978,0.271211096322232,0.0278356294884361,0.867495840820002,NA,"FBgn0040372","G9a"
"FBgn0000316",0.0858369422869994,0.0758767538810261,0.375326614895522,0.0449669037270723,0.832064897372783,NA,"FBgn0000316","cin"
"FBgn0024989",0.00268486641782244,0.0470003132861477,3.55998399587539,-0.000368887942215679,1,NA,"FBgn0024989","CG3777"
"FBgn0040371",0.0105169876859435,0.0168456288923303,1.57550407960534,-0.00149979558057112,1,NA,"FBgn0040371","CG12470"
"FBgn0029521",0.00884943756336126,0.101854806523637,1.55012285790263,0.00958103086964002,0.922025405325863,NA,"FBgn0029521","Or1a"
"FBgn0029522",0.0337865145312687,0.105966121295779,0.789480698442027,0.0239981534305116,0.876889610038736,NA,"FBgn0029522","CG13373"
"FBgn0052817",0.0115398042838865,0.0377845200921202,1.60527606555468,-0.002302925019535,1,NA,"FBgn0052817","CG32817"
"FBgn0029524",0.0346167741207589,0.116174214031621,0.718914167288828,0.0341978376561656,0.85328662766586,NA,"FBgn0029524","CG3176"
"FBgn0023536",0.0370876726034585,0.047504647831642,0.716945411573664,-0.00154906964553447,1,NA,"FBgn0023536","CG3156"
"FBgn0023535",0.0256099106383567,0.135690361275588,0.987835660892999,0.0389064026683172,0.843634205395716,NA,"FBgn0023535",NA
"FBgn0023537",0.384413062826986,0.218526389771287,0.134516253988327,2.46148397220804,0.116668511567203,0.356622494571322,"FBgn0023537","CG17896"
"FBgn0029525",0.0313731919102655,0.00665933330157473,0.8710300709349,-0.00188433992002501,1,NA,"FBgn0029525","CG18273"
"FBgn0029523",0.00801557392962489,0.0623530789971401,2.09941866251452,0.000123517552538033,0.991132617143406,NA,"FBgn0029523","CR18275"
"FBgn0010019",0,NA,NA,NA,NA,NA,"FBgn0010019","Cyp4g1"
"FBgn0052816",0.0385555928814698,0.149967354350634,0.768701726577012,0.0913510654520451,0.762466531237471,NA,"FBgn0052816","CG32816"
"FBgn0040370",0.0015470192215712,0.054625785032066,5.33080149552069,-7.44220761532688e-05,1,NA,"FBgn0040370","CG13375"
"FBgn0040373",0.0300176103439959,0.124518749754769,0.827560529357505,0.0544937984125227,0.815420479241939,NA,"FBgn0040373","CG3038"
"FBgn0000108",0.000181538061952963,0.0546099371901212,5.94946543789029,-6.98430323815558e-05,1,NA,"FBgn0000108","Appl"
"FBgn0025640",0.236920257890442,-0.0604869295521305,0.159179711580051,0.48798263401568,0.484828587893813,0.754375490887988,"FBgn0025640","CG13369"
"FBgn0025635",0.0262687755556518,0.0470071076352772,0.928715332984736,-0.000899284569868541,1,NA,"FBgn0025635","CG17829"
"FBgn0001341",0.0397370128932967,0.061684275725944,0.730398099714776,-0.00739138325070599,1,NA,"FBgn0001341","Mybbp1A"
"FBgn0003575",0.0391739618154465,0.0645527247316517,0.660085173562672,-0.00195578458306045,1,NA,"FBgn0003575","su(sable)"
"FBgn0025634",0.0484984653517864,0.145365464793631,0.591460268993499,0.110304975736653,0.73979719210686,NA,"FBgn0025634","CG13367"
"FBgn0025638",0.435463353524356,0.263338999870623,0.119012090831446,3.96794612473423,0.0463743043087446,0.203528290114942,"FBgn0025638","Roc1a"
"FBgn0040383",0.116873757194319,-0.056946031920775,0.293013540138559,0.202808284998355,0.652463564524232,NA,"FBgn0040383","CG5254"
"FBgn0040382",0.13554927868626,-0.0121793199929335,0.278749165098878,0.0411436920658161,0.839260811987242,NA,"FBgn0040382",NA
"FBgn0027343",0.0031008290598472,0.0691585825018503,5.05828975591562,0.000204564305562371,0.988588567050948,NA,"FBgn0027343","fz3"
"FBgn0025621",0.0874989805742121,0.0359685123721647,0.360977591557022,-0.0144385108001188,1,NA,"FBgn0025621","CG16989"
"FBgn0026874",0.00306668203467804,0.0499790391284291,3.53539527374249,-0.000379926395112307,1,NA,"FBgn0026874","CG13358"
"FBgn0025616",0.00234149112792953,0.0649384437763715,5.78631209284834,2.5813521915552e-05,0.995946204612288,NA,"FBgn0025616","CG13359"
"FBgn0015799",0.127834148963085,0.194894660361945,0.26942453505693,0.521658594953806,0.470135028911837,NA,"FBgn0015799","Rbf"
"FBgn0025620",0.0259789543670296,0.11936824299318,1.08896976135189,0.0239333048407389,0.877054734452103,NA,"FBgn0025620","CG13360"
"FBgn0015288",1.03759050284896,0.37081785683014,0.0884512505957383,16.6852175674048,4.41234830722876e-05,0.00155902973522083,"FBgn0015288",NA
"FBgn0025639",0.0742072606122345,0.120509489460002,0.419116928053784,0.153067800881217,0.695620728969209,NA,"FBgn0025639","Hmt4-20"
"FBgn0002579",12.3583759595823,0.112071454827232,0.0357183769712904,9.72106742805772,0.00182167684748572,0.0218903904704265,"FBgn0002579","RpL36"
"FBgn0026879",1.0759619755191,0.118932383304891,0.0878028086606754,1.42293998018977,0.232920102303425,0.516382344453083,"FBgn0026879",NA
"FBgn0029529",0.118138989544878,0.135387414688361,0.281292166771613,0.299249503462306,0.584353297612033,NA,"FBgn0029529","CG13365"
"FBgn0025633",0.0856138232944242,0.0387468750544562,0.397095624038152,-0.0232579107873789,1,NA,"FBgn0025633","CG13366"
"FBgn0040339",0.0904204382264292,0.0564731912422913,0.362934009275701,-0.0326304087943754,1,NA,"FBgn0040339","MED22"
"FBgn0052815",0.000984461253238465,0.0614731854574606,5.94946526814748,-1.06038865084201e-05,1,NA,"FBgn0052815","CG32815"
"FBgn0040340",0.322687077303567,0.249438028608542,0.138252230039529,2.75461788085067,0.0969739831747502,0.31386999134423,"FBgn0040340","TRAM"
"FBgn0040347",0.00668842484434598,0.0518175835176245,2.42469829165245,-0.000684167839494876,1,NA,"FBgn0040347","mus81"
"FBgn0040337",0.03227163488642,0.103611525441801,0.766735917909914,0.0171756767763327,0.895731002831235,NA,"FBgn0040337","CG3021"
"FBgn0040398",9.32881786317337,0.583525259998794,0.0776399421329681,55.6041656346533,8.86356099169997e-14,7.51629972096158e-11,"FBgn0040398","CG14629"
"FBgn0040397",0.00178102692432614,0.0665074709459971,5.58053755237928,5.19507306933065e-05,0.994249148790357,NA,"FBgn0040397","CG3655"
"FBgn0026143",0.0503338010187818,0.0294243691684689,0.582021251041579,-0.0161220822001269,1,NA,"FBgn0026143","Cdc45"
"FBgn0040351",0.00243802846962802,0.0731420170569389,4.4748134825127,0.000130536813799154,0.990884151118739,NA,"FBgn0040351","CG11638"
"FBgn0040349",0.0013265574527106,0.0515588663883781,5.94946530240825,-6.66597586587159e-05,1,NA,"FBgn0040349",NA
"FBgn0040348",0.00251956586460488,0.0648018747327008,5.4282802186464,-3.06487800401101e-05,1,NA,"FBgn0040348",NA
"FBgn0040346",0.106277256363495,0.0725540699314018,0.331027846535943,-0.0376269704238439,1,NA,"FBgn0040346","CG3704"
"FBgn0040342",0.000573151411547813,0.0500156870757855,5.9494654073716,-8.70511828594545e-05,1,NA,"FBgn0040342",NA
"FBgn0040345",0,NA,NA,NA,NA,NA,"FBgn0040345","CG3708"
"FBgn0052814",0.000788863985898076,0.0554778823987914,5.94946533255722,-7.93556636011772e-05,1,NA,"FBgn0052814","CG32814"
"FBgn0040364",0.00755283964922619,0.0331719395632248,2.45887302777813,-0.00130311159585972,1,NA,"FBgn0040364","CG11378"
"FBgn0040360",0.00113908980238025,0.0499135905799724,5.94946521827132,-0.000113631962719296,1,NA,"FBgn0040360","CG14626"
"FBgn0025642",0.000717117244976465,0.0588302623794323,5.94946516726438,-3.71892744084334e-05,1,NA,"FBgn0025642","CG32812"
"FBgn0004650",0.000449765243752002,0.0579756016442735,5.94946536497631,-2.07586630693868e-05,1,NA,"FBgn0004650","fs(1)N"
"FBgn0024362",0.100543135405808,0.0181979176557571,0.313555554355096,-0.0278243506550098,1,NA,"FBgn0024362","Naa30A"
"FBgn0024361",0.0188776963259966,0.104963050245112,0.960487536536203,0.0207589718786494,0.885437501825246,NA,"FBgn0024361","Tsp2A"
