,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FBgn0026721,0,1.62040375695442,0.916,0.832,0,0,FBgn0026721
FBgn0259896,0,1.55107550062883,0.943,0.823,0,0,FBgn0259896
FBgn0001114,0,1.51820525485402,0.986,0.905,0,0,FBgn0001114
FBgn0035076,0,1.36934014683533,0.913,0.794,0,0,FBgn0035076
FBgn0033724,0,1.34620964699396,0.984,0.936,0,0,FBgn0033724
FBgn0026562,0,1.3158687728221,0.991,0.936,0,0,FBgn0026562
FBgn0011828,0,1.27392497663341,0.985,0.917,0,0,FBgn0011828
FBgn0000299,0,1.2615365803764,0.989,0.916,0,0,FBgn0000299
FBgn0029147,0,1.20157480110986,0.974,0.915,0,0,FBgn0029147
FBgn0014163,0,1.19520485717438,0.909,0.784,0,0,FBgn0014163
FBgn0045823,0,1.19123537208628,0.969,0.904,0,0,FBgn0045823
FBgn0051337,0,1.1906564048288,0.909,0.84,0,0,FBgn0051337
FBgn0033949,0,1.175859166641,0.864,0.787,0,0,FBgn0033949
FBgn0029167,0,1.15897105039561,0.991,0.94,0,0,FBgn0029167
FBgn0261800,0,1.15077895023266,0.929,0.8,0,0,FBgn0261800
FBgn0261628,0,1.10051738916615,0.873,0.802,0,0,FBgn0261628
FBgn0243514,0,1.0566525616393,0.889,0.835,0,0,FBgn0243514
FBgn0003137,0,1.02075594081706,0.992,0.957,0,0,FBgn0003137
FBgn0001089,0,0.981034160639982,0.785,0.764,0,0,FBgn0001089
FBgn0034761,0,0.971121271578693,0.963,0.906,0,0,FBgn0034761
FBgn0013763,0,0.952227224586793,0.966,0.912,0,0,FBgn0013763
FBgn0262881,0,0.946308657788638,0.919,0.855,0,0,FBgn0262881
FBgn0004449,0,0.944919669109139,0.778,0.676,0,0,FBgn0004449
FBgn0016075,0,0.937672129192614,0.857,0.783,0,0,FBgn0016075
FBgn0051324,0,0.937117015035844,0.952,0.877,0,0,FBgn0051324
FBgn0030796,0,0.898175757472226,0.903,0.791,0,0,FBgn0030796
FBgn0040813,0,0.89268305553919,0.999,0.994,0,0,FBgn0040813
FBgn0036262,0,0.883499732106536,0.736,0.74,0,0,FBgn0036262
FBgn0033153,0,0.789420694538662,0.823,0.759,0,0,FBgn0033153
FBgn0030362,0,0.788354133693209,0.987,0.975,0,0,FBgn0030362
FBgn0032405,0,0.768723434562948,0.809,0.762,0,0,FBgn0032405
FBgn0051092,0,0.729072574610576,0.856,0.787,0,0,FBgn0051092
FBgn0003525,0,0.721196861708252,0.75,0.658,0,0,FBgn0003525
FBgn0015221,0,0.704921430995429,0.935,0.866,0,0,FBgn0015221
FBgn0004629,0,0.67866746429362,0.87,0.82,0,0,FBgn0004629
FBgn0267727,0,0.636545007066937,0.844,0.758,0,0,FBgn0267727
FBgn0259715,0,0.62976264283626,0.813,0.775,0,0,FBgn0259715
FBgn0261385,0,0.562492203609726,0.751,0.683,0,0,FBgn0261385
FBgn0038826,0,0.532280949785525,0.837,0.771,0,0,FBgn0038826
FBgn0030326,0,0.504722312213105,0.723,0.725,0,0,FBgn0030326
FBgn0001142,0,0.426020808630574,0.703,0.729,0,0,FBgn0001142
FBgn0266569,0,0.412888156601732,0.825,0.752,0,0,FBgn0266569
FBgn0030241,0,0.405854846756522,0.679,0.555,0,0,FBgn0030241
FBgn0031878,0,0.296189907757971,0.762,0.648,0,0,FBgn0031878
FBgn0032010,0,-0.433256683485227,0.72,0.781,0,0,FBgn0032010
FBgn0011817,0,-0.439623180717037,0.575,0.756,0,0,FBgn0011817
FBgn0037750,0,-0.528162727593666,0.687,0.755,0,0,FBgn0037750
FBgn0259243,0,-0.554228119402153,0.543,0.72,0,0,FBgn0259243
FBgn0034720,0,-0.567447280649544,0.586,0.698,0,0,FBgn0034720
FBgn0050090,0,-0.571705252051099,0.787,0.835,0,0,FBgn0050090
FBgn0030670,0,-0.643361467259253,0.691,0.799,0,0,FBgn0030670
FBgn0003206,0,-0.663356027074065,0.691,0.799,0,0,FBgn0003206
FBgn0266719,0,-0.681046301610269,0.641,0.764,0,0,FBgn0266719
FBgn0038679,0,-0.710082338692159,0.758,0.834,0,0,FBgn0038679
FBgn0000308,0,-0.739657961574003,0.948,0.967,0,0,FBgn0000308
FBgn0031150,0,-0.74369054403819,0.576,0.728,0,0,FBgn0031150
FBgn0040299,0,-0.747102421438065,0.784,0.817,0,0,FBgn0040299
FBgn0000043,0,-0.749594717892779,0.997,0.996,0,0,FBgn0000043
FBgn0267795,0,-0.77539242574068,0.921,0.957,0,0,FBgn0267795
FBgn0039108,0,-0.794828566130463,0.706,0.796,0,0,FBgn0039108
FBgn0043070,0,-0.806866678128951,0.821,0.915,0,0,FBgn0043070
FBgn0015765,0,-0.826846186262779,0.703,0.837,0,0,FBgn0015765
FBgn0001105,0,-0.830130648155151,0.932,0.949,0,0,FBgn0001105
FBgn0028916,0,-0.832119998493521,0.756,0.814,0,0,FBgn0028916
FBgn0000083,0,-0.832365815278146,0.978,0.982,0,0,FBgn0000083
FBgn0035539,0,-0.842456774692719,0.79,0.847,0,0,FBgn0035539
FBgn0033033,0,-0.863046941886316,0.701,0.765,0,0,FBgn0033033
FBgn0259977,0,-0.872135287393749,0.785,0.86,0,0,FBgn0259977
FBgn0003884,0,-0.873033264650988,0.985,0.993,0,0,FBgn0003884
FBgn0261261,0,-0.912153189141056,0.69,0.779,0,0,FBgn0261261
FBgn0015589,0,-0.917641748934273,0.727,0.835,0,0,FBgn0015589
FBgn0259481,0,-0.930344458396359,0.726,0.836,0,0,FBgn0259481
FBgn0262160,0,-0.936258379966478,0.626,0.794,0,0,FBgn0262160
FBgn0026189,0,-0.938862092380505,0.822,0.895,0,0,FBgn0026189
FBgn0012051,0,-0.949134252951891,0.778,0.862,0,0,FBgn0012051
FBgn0086355,0,-0.974344734528238,0.606,0.782,0,0,FBgn0086355
FBgn0000318,0,-0.97486256363005,0.846,0.911,0,0,FBgn0000318
FBgn0031080,0,-0.979925235104069,0.82,0.856,0,0,FBgn0031080
FBgn0053056,0,-1.01915802583369,0.819,0.884,0,0,FBgn0053056
FBgn0052066,0,-1.03184328039356,0.545,0.731,0,0,FBgn0052066
FBgn0003890,0,-1.04723309349603,0.818,0.885,0,0,FBgn0003890
FBgn0026374,0,-1.05252545736281,0.731,0.823,0,0,FBgn0026374
FBgn0038890,0,-1.06295133480334,0.742,0.839,0,0,FBgn0038890
