"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.72367858406408,0.965,0.838,0,"0","FBgn0259896"
"2",0,1.71454237312446,0.928,0.839,0,"0","FBgn0026721"
"3",0,1.53843455713715,0.991,0.906,0,"0","FBgn0001114"
"4",0,2.26560605265771,0.912,0.836,0,"1","FBgn0034010"
"5",0,1.23339282437216,0.875,0.746,0,"1","FBgn0264437"
"6",0,1.06837808587823,0.79,0.765,0,"1","FBgn0261989"
"7",0,2.2051738719269,0.882,0.842,0,"2","FBgn0010387"
"8",0,1.96037441207473,0.982,0.905,0,"2","FBgn0265375"
"9",0,1.68885789679371,0.953,0.844,0,"2","FBgn0028514"
"10",0,2.04627001320046,0.88,0.818,0,"3","FBgn0042106"
"11",0,1.5647649238794,0.886,0.798,0,"3","FBgn0034880"
"12",0,1.37798667894647,0.799,0.74,0,"3","FBgn0039759"
"13",0,2.50574539914076,0.993,0.918,0,"4","FBgn0266253"
"14",0,2.4080591551233,0.999,0.894,0,"4","FBgn0038682"
"15",0,2.33066029543177,0.986,0.86,0,"4","FBgn0050035"
"16",0,3.29910863266769,0.993,0.777,0,"5","FBgn0010424"
"17",0,3.14557278567206,0.984,0.835,0,"5","FBgn0032897"
"18",0,2.84060062556513,0.899,0.746,0,"5","FBgn0032318"
"19",0,5.93218876601733,0.996,0.901,0,"6","FBgn0283437"
"20",0,5.63186117090416,0.999,0.949,0,"6","FBgn0033367"
"21",0,4.99949674559448,0.947,0.706,0,"6","FBgn0263773"
"22",0,5.09394682796919,0.964,0.824,0,"7","FBgn0014865"
"23",0,3.63137967997888,0.884,0.817,0,"7","FBgn0038530"
"24",0,3.46525985974274,0.855,0.825,0,"7","FBgn0010388"
