"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FBgn0259896",0,1.72367858406408,0.965,0.838,0,"0","FBgn0259896"
"FBgn0026721",0,1.71454237312446,0.928,0.839,0,"0","FBgn0026721"
"FBgn0001114",0,1.53843455713715,0.991,0.906,0,"0","FBgn0001114"
"FBgn0033724",0,1.40926079642068,0.994,0.956,0,"0","FBgn0033724"
"FBgn0035076",0,1.37526449217854,0.912,0.78,0,"0","FBgn0035076"
"FBgn0011828",0,1.32840158515532,0.988,0.914,0,"0","FBgn0011828"
"FBgn0026562",0,1.31826899373557,0.995,0.94,0,"0","FBgn0026562"
"FBgn0014163",0,1.31307884695151,0.934,0.809,0,"0","FBgn0014163"
"FBgn0000299",0,1.2269324717307,0.992,0.913,0,"0","FBgn0000299"
"FBgn0045823",0,1.22246684770685,0.984,0.928,0,"0","FBgn0045823"
"FBgn0029147",0,1.21613135857586,0.984,0.922,0,"0","FBgn0029147"
"FBgn0001089",0,1.21457507586971,0.824,0.797,0,"0","FBgn0001089"
"FBgn0051337",0,1.2087106803884,0.947,0.835,0,"0","FBgn0051337"
"FBgn0261628",0,1.18716966144438,0.92,0.819,0,"0","FBgn0261628"
"FBgn0033949",0,1.16839189207891,0.894,0.8,0,"0","FBgn0033949"
"FBgn0031261",0,1.14319784102909,0.975,0.891,0,"0","FBgn0031261"
"FBgn0029167",0,1.10383674400768,0.993,0.951,0,"0","FBgn0029167"
"FBgn0262881",0,1.09617516436959,0.942,0.863,0,"0","FBgn0262881"
"FBgn0261800",0,1.09566101753381,0.923,0.819,0,"0","FBgn0261800"
"FBgn0029093",0,1.07408808011492,0.978,0.924,0,"0","FBgn0029093"
"FBgn0031327",0,1.06164972074635,0.98,0.922,0,"0","FBgn0031327"
"FBgn0243514",0,1.0427802519616,0.894,0.83,0,"0","FBgn0243514"
"FBgn0004449",0,1.03188195451325,0.816,0.693,0,"0","FBgn0004449"
"FBgn0003137",0,1.02674437124076,0.996,0.969,0,"0","FBgn0003137"
"FBgn0036262",0,1.0188474555762,0.755,0.708,0,"0","FBgn0036262"
"FBgn0034398",0,0.988051181208295,0.973,0.912,0,"0","FBgn0034398"
"FBgn0013770",0,0.981751169148462,0.991,0.963,0,"0","FBgn0013770"
