"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0000261",1.69279630809884,-2.70012734881682,0.58535664023953,22.6026358575994,1.9921111007545e-06,0.00123710099356854,"FBgn0000261",NA
"FBgn0026084",8.46376500915359,-1.39352743194864,0.342148304861171,16.1582248835875,5.82650113808773e-05,0.0109213044647415,"FBgn0026084","cib"
"FBgn0039713",6.89579201492689,-0.91392287486159,0.233791268511809,16.1232127454975,5.93520901192545e-05,0.0109213044647415,"FBgn0039713","RpS8"
"FBgn0034761",1.70289430342426,-2.41182794362235,0.631796016429643,15.8015040212221,7.03465666005891e-05,0.0109213044647415,"FBgn0034761","CG4250"
"FBgn0001089",2.39045762048448,-2.37477053644997,0.606063330414212,15.1289959446518,0.000100409173199304,0.0124708193113536,"FBgn0001089","Gal"
"FBgn0028582",1.10762269796795,-1.98942885202186,0.56956269423885,14.0384198102121,0.00017911338574696,0.0185382354248104,"FBgn0028582","lqf"
"FBgn0001142",1.00611793176831,-2.25108852535832,0.64035738010833,13.6335138519981,0.000222183662259808,0.019710864894763,"FBgn0001142",NA
"FBgn0027932",1.52919840159131,-1.63634580905984,0.487405916078154,11.9595324531184,0.000543685116434992,0.028642550143428,"FBgn0027932",NA
"FBgn0003884",4.44940778798052,-1.08088503219573,0.313192079679154,12.2691266879458,0.000460513729202583,0.028642550143428,"FBgn0003884","alphaTub84B"
"FBgn0030136",4.73720074352174,-0.89181372245786,0.261143570000438,12.2679919222924,0.000460793843752693,0.028642550143428,"FBgn0030136","RpS28b"
"FBgn0033717",0.641938860728448,-1.87409099482004,0.60572550492878,11.777211068044,0.000599602498976753,0.028642550143428,"FBgn0033717","CG8839"
"FBgn0014163",6.21413531476686,-1.75499070142876,0.496901506644533,11.8582147093512,0.000574075516101787,0.028642550143428,"FBgn0014163","fax"
"FBgn0261800",2.78002177925318,-1.11585585213993,0.332756810564164,11.9505979166936,0.000546298463705801,0.028642550143428,"FBgn0261800","LanB1"
"FBgn0015924",1.20323408760057,-1.8037747852848,0.57890643533989,10.7846329741105,0.00102346195495559,0.0433326200715837,"FBgn0015924",NA
"FBgn0036144",1.81459278579354,-1.68269737637688,0.523845130677499,10.7431121097709,0.00104668164424115,0.0433326200715837,"FBgn0036144","GlcAT-P"
"FBgn0259176",2.04585574384319,-1.34616961494946,0.437966165573969,10.1124092677637,0.00147274311722167,0.0571608422371662,"FBgn0259176","bun"
"FBgn0267910",63.4535481240286,-0.600562105483054,0.189848263979436,9.91234748613988,0.00164173578684002,0.0599716425663325,"FBgn0267910","lncRNA:CR34335"
"FBgn0265434",2.48000363249458,-1.28132573987094,0.414893147170423,9.69811835325788,0.00184456793253799,0.0602882466371629,"FBgn0265434","zip"
"FBgn0036821",0.715414711136196,-1.79418616646806,0.629578985920385,9.75084626319904,0.00179240182435662,0.0602882466371629,"FBgn0036821","CG3961"
"FBgn0001218",4.5730174608632,-1.09813513495509,0.357327026007673,9.4676309193726,0.00209129280426466,0.0649346415724177,"FBgn0001218","Hsc70-3"
"FBgn0261556",0.808427456231263,-1.70090649745171,0.624977933280821,8.94071977676094,0.00278882805666943,0.082469629675796,"FBgn0261556","CG42674"
"FBgn0001226",3.37371351668993,-1.42236346695289,0.473783915052873,8.68663941799616,0.00320551114147599,0.090482837220754,"FBgn0001226","Hsp27"
"FBgn0001404",0.925201212105489,-1.4832059195013,0.563873313250179,8.04384708123837,0.00456584680270733,0.107965703900159,"FBgn0001404",NA
"FBgn0000454",0.782345200040126,-1.74347159396684,0.65874797412899,7.99365296788335,0.00469416103913736,0.107965703900159,"FBgn0000454","Dip-B"
"FBgn0033724",10.5032031526716,-0.732496803988628,0.255569068760332,8.25599655290307,0.00406176037024449,0.107965703900159,"FBgn0033724","CG8501"
"FBgn0052423",4.6957011199497,-0.824633246763213,0.29117362558694,8.17595951621615,0.00424492085812546,0.107965703900159,"FBgn0052423","shep"
"FBgn0259984",1.30274506798817,-1.47862249351681,0.541963598070448,8.11218182504024,0.00439687738840751,0.107965703900159,"FBgn0259984","kuz"
"FBgn0004449",1.16251551810516,-1.40062402118393,0.544828958263535,7.58711633629594,0.00587869088674968,0.13038096573827,"FBgn0004449","Ten-m"
"FBgn0034902",0.425588952516111,-1.55198590354801,0.69991291275326,7.43207124986372,0.00640715532575617,0.132628115243153,"FBgn0034902","CG5532"
"FBgn0265297",10.3681923571651,-0.562427171063434,0.207236417468795,7.47773367006835,0.00624666495479413,0.132628115243153,"FBgn0265297","pAbp"
"FBgn0043841",1.25404572674953,-1.57433596475387,0.6241832672176,7.2353850995413,0.00714804762738443,0.138716799268929,"FBgn0043841","vir-1"
"FBgn0025683",0.773896276972583,-1.43066731453608,0.595439068513633,7.24696231855137,0.0071021056431697,0.138716799268929,"FBgn0025683","CG3164"
"FBgn0034753",3.19604922587212,-0.861917938619708,0.332956732308708,7.05075156659893,0.00792320005859259,0.149100219284424,"FBgn0034753","CG2852"
"FBgn0285949",5.27997081540838,-0.665674867173599,0.261499266125773,6.65274156426744,0.00990033749158152,0.180826752419768,"FBgn0285949","RpL31"
"FBgn0000416",2.26935656823459,-1.01368362764419,0.408762362648845,6.45614901539625,0.011056901896639,0.196181030794653,"FBgn0000416","Sap-r"
"FBgn0262801",0.524770352176233,-1.35623535923054,0.660933340504382,6.36263691011828,0.0116548207453094,0.201045657856588,"FBgn0262801","twr"
"FBgn0004177",2.3155084295467,-0.948877224859337,0.394657831992688,6.05015184923332,0.0139051010226164,0.212479425370514,"FBgn0004177","mts"
"FBgn0037643",0.540239966672956,1.55606675559941,0.656082337990375,5.99203810846825,0.0143705891554937,0.212479425370514,"FBgn0037643","ScsbetaA"
"FBgn0261822",1.55940031967484,-1.18835435318215,0.492244633767846,6.06262466269948,0.013807233040765,0.212479425370514,"FBgn0261822","Bsg"
"FBgn0004926",0.605103261985864,1.46285248351579,0.577193077122118,6.04182625560912,0.0139708247518887,0.212479425370514,"FBgn0004926","eIF2beta"
"FBgn0036121",0.747254085808231,-1.18532811467447,0.59372657228319,6.11704867150331,0.0133884149567179,0.212479425370514,"FBgn0036121","CG6310"
"FBgn0045823",5.39984971117085,-0.701990221280316,0.288980707015308,6.02709365438136,0.014087910855338,0.212479425370514,"FBgn0045823",NA
"FBgn0052594",0.453296805208561,-1.48191083852501,0.702159450516041,5.92931204596135,0.0148910541145465,0.215054525700776,"FBgn0052594","be"
"FBgn0034138",9.23862191428578,-0.447511547712828,0.188021731393371,5.78853102881953,0.0161310629369595,0.225058818974912,"FBgn0034138",NA
"FBgn0036587",1.05664761584599,-1.27101626250262,0.607939708507543,5.76929130560086,0.0163086100706458,0.225058818974912,"FBgn0036587",NA
"FBgn0029687",1.34103884602953,-1.14161904199872,0.495391345053884,5.59812540736709,0.0179797057119329,0.225455137538806,"FBgn0029687",NA
"FBgn0032949",1.63006653950242,-1.02027508420825,0.459985886084175,5.5466928325103,0.0185156393147811,0.225455137538806,"FBgn0032949","Lamp1"
"FBgn0265140",0.888414371032912,-1.1948118274842,0.575148896273729,5.57741422394599,0.0181935658042791,0.225455137538806,"FBgn0265140","Meltrin"
"FBgn0283451",1.68136098484915,-1.13988108790777,0.490321108087249,5.5478923536142,0.0185029540904922,0.225455137538806,"FBgn0283451","br"
"FBgn0030366",0.547119000920432,1.46783511588687,0.618052991271243,5.61385683936089,0.0178190011368788,0.225455137538806,"FBgn0030366","Usp7"
"FBgn0030876",0.823140812669868,-2.15604752026858,0.90925217126344,5.67953038307144,0.0171639612814463,0.225455137538806,"FBgn0030876","CG6762"
"FBgn0000071",2.05721993260126,-1.27787699475191,0.546150968658996,5.36869878813309,0.0205012658106833,0.235764556822858,"FBgn0000071","Ama"
"FBgn0038738",0.546833916221842,-1.22256805725595,0.640261714331084,5.38725293557394,0.0202843799088153,0.235764556822858,"FBgn0038738","CG4572"
"FBgn0038535",0.84603971297575,-1.2329107634798,0.569432248875129,5.40287461797152,0.0201036133912622,0.235764556822858,"FBgn0038535","alt"
"FBgn0262736",6.90607467290415,-0.590691534042948,0.255917102228357,5.31316301644779,0.0211648967608919,0.238970925245707,"FBgn0262736","Vha16-1"
"FBgn0002921",0.542481273928049,1.50615445923302,0.618152024475388,5.26965320878952,0.0217003353236619,0.240641218499894,"FBgn0002921",NA
"FBgn0001224",2.92151852274085,-1.43757978638024,0.6190254171709,5.15748247756403,0.0231464251372122,0.252174210705417,"FBgn0001224","Hsp23"
"FBgn0037239",0.55428290518231,-1.21022788701235,0.638822411529366,4.84510583438936,0.0277246910594858,0.260355434626433,"FBgn0037239","Sfxn1-3"
"FBgn0051637",0.630601117048439,-1.28219548422819,0.657511863892811,4.77187036259784,0.0289283816251592,0.260355434626433,"FBgn0051637",NA
"FBgn0004838",2.31632034969555,-0.838365195814246,0.386125757788888,4.87098472285709,0.0273119112568508,0.260355434626433,"FBgn0004838",NA
"FBgn0011666",0.759886057659516,-1.26075220349108,0.623945855865533,4.81534076220271,0.0282074940175193,0.260355434626433,"FBgn0011666","msi"
"FBgn0002645",0.797834767297439,-1.12713130699787,0.584408196862934,4.92280631130416,0.0265044314924524,0.260355434626433,"FBgn0002645","Map205"
